mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_tfidf__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.20887064933776855,0.18046460212565654,0.01700882911682129,0.003916790627287065,,100,"{'classifier__max_depth': None, 'tfidf__max_features': 100}",0.8713768115942029,0.876207729468599,0.875,0.8725845410628019,0.8785498489425981,0.8747437862136405,0.0025570978301260473,12,0.947908802657406,0.9468518798127736,0.9470028687905783,0.951079571191303,0.9495772946859904,0.9484840834276103,0.0016199198123819864
0.1426238536834717,0.007628818754583076,0.015976524353027342,0.0021399615298211896,,150,"{'classifier__max_depth': None, 'tfidf__max_features': 150}",0.8816425120772947,0.8864734299516909,0.8858695652173914,0.8780193236714976,0.8785498489425981,0.8821109359720947,0.003544028795618848,9,0.9572701192812925,0.9540993507473955,0.9557602295032462,0.957874075192511,0.9557669082125604,0.956154136587401,0.0013214279875898747
0.15238566398620607,0.014053634500518915,0.013345813751220703,0.0018661250648791226,,200,"{'classifier__max_depth': None, 'tfidf__max_features': 200}",0.876207729468599,0.8822463768115942,0.8822463768115942,0.8804347826086957,0.8755287009063444,0.8793327933213655,0.0029130554778220804,11,0.9589309980371433,0.9572701192812925,0.9589309980371433,0.9596859429261664,0.9586352657004831,0.9586906647964458,0.0007908371904664305
0.35123209953308104,0.04849991085770673,0.015531444549560547,0.0027387917517520373,,500,"{'classifier__max_depth': None, 'tfidf__max_features': 500}",0.894927536231884,0.8653381642512077,0.8768115942028986,0.8786231884057971,0.8809667673716012,0.8793334500926777,0.009471805555729407,10,0.9704061603502945,0.9699531934168806,0.9723690170617545,0.970557149328099,0.970108695652174,0.9706788431618406,0.0008714916926710428
0.07870798110961914,0.010356363664678046,0.019882726669311523,0.005364056399977802,5,100,"{'classifier__max_depth': 5, 'tfidf__max_features': 100}",0.9015700483091788,0.8913043478260869,0.8888888888888888,0.892512077294686,0.8930513595166163,0.8934653443670915,0.004298375934020782,7,0.8986863958930998,0.9006492526045599,0.9004982636267552,0.9029140872716291,0.9029287439613527,0.9011353486714793,0.0016136737046020917
0.07546234130859375,0.01201282036266188,0.01565523147583008,0.0040795367332045595,5,150,"{'classifier__max_depth': 5, 'tfidf__max_features': 150}",0.9021739130434783,0.8979468599033816,0.8919082125603864,0.8931159420289855,0.8930513595166163,0.8956392574105696,0.003873287626915476,3,0.9009512305601691,0.9023101313604107,0.9024611203382154,0.9021591423826061,0.9030797101449275,0.9021922669572658,0.0006949817473385821
0.08321127891540528,0.014664975735638738,0.015617132186889648,0.004856947298835106,5,200,"{'classifier__max_depth': 5, 'tfidf__max_features': 200}",0.8985507246376812,0.8973429951690821,0.893719806763285,0.892512077294686,0.8948640483383686,0.8953979304406208,0.002242884999386459,5,0.9008002415823645,0.9036690321606523,0.9029140872716291,0.9030650762494338,0.9038345410628019,0.9028565956653762,0.001085522161233029
0.08746571540832519,0.006524915255288976,0.016591215133666994,0.004574551085273675,5,500,"{'classifier__max_depth': 5, 'tfidf__max_features': 500}",0.9045893719806763,0.8967391304347826,0.893719806763285,0.892512077294686,0.8966767371601209,0.8968474247267102,0.004208463868533161,1,0.9018571644269968,0.9063868337611355,0.9042729880718707,0.9039710101162615,0.9056461352657005,0.904426826328393,0.001559675628898683
0.08510332107543946,0.004168429243540235,0.016678428649902342,0.0015849785868241161,10,100,"{'classifier__max_depth': 10, 'tfidf__max_features': 100}",0.8931159420289855,0.8852657004830918,0.8864734299516909,0.8907004830917874,0.8936555891238671,0.8898422289358845,0.0034143500936629507,8,0.9134833157179526,0.9143892495847803,0.9143892495847803,0.9171070511852635,0.9172705314009661,0.9153278794947486,0.0015558802058964804
0.09817543029785156,0.01499472711792394,0.01944699287414551,0.002594988841714215,10,150,"{'classifier__max_depth': 10, 'tfidf__max_features': 150}",0.893719806763285,0.8967391304347826,0.8931159420289855,0.8955314009661836,0.8918429003021148,0.8941898360990702,0.001742468455270327,6,0.9157481503850219,0.9151441944738035,0.9172580401630681,0.9192208968745281,0.917572463768116,0.9169887491329074,0.0014378589025618154
0.09345955848693847,0.007395430421408647,0.018698501586914062,0.004006289394351921,10,200,"{'classifier__max_depth': 10, 'tfidf__max_features': 200}",0.894927536231884,0.8991545893719807,0.894927536231884,0.8900966183574879,0.8984894259818731,0.8955191412350219,0.003229328783222582,4,0.9165030952740449,0.9174090291408727,0.9169560622074588,0.9180129850520912,0.9169685990338164,0.9171699541416569,0.0005096768308406447
0.09958457946777344,0.01083739221876039,0.016483068466186523,0.0037308606653768763,10,500,"{'classifier__max_depth': 10, 'tfidf__max_features': 500}",0.9009661835748792,0.8973429951690821,0.8913043478260869,0.893719806763285,0.8990936555891239,0.8964853977844914,0.003524420398218274,2,0.9178619960742865,0.9195228748301374,0.9184659519855051,0.9187679299411143,0.9181763285024155,0.9185590162666918,0.0005680873678701911
