mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_estimators,param_tfidf__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.0094622135162354,0.05579000243233154,0.071966552734375,0.010750316564223088,50,100,"{'classifier__n_estimators': 50, 'tfidf__max_features': 100}",0.8973429951690821,0.892512077294686,0.8894927536231884,0.8876811594202898,0.8942598187311178,0.8922577608476727,0.0034212005584034456,11,0.947908802657406,0.9468518798127736,0.9470028687905783,0.9509285822134984,0.9494263285024155,0.9484236923953345,0.0015513992469456085
1.0570566177368164,0.05770889549118492,0.06567764282226562,0.00879493875265969,50,150,"{'classifier__n_estimators': 50, 'tfidf__max_features': 150}",0.8973429951690821,0.8961352657004831,0.8985507246376812,0.8913043478260869,0.8954682779456193,0.8957603222557905,0.002464661420451963,9,0.9572701192812925,0.9540993507473955,0.9556092405254416,0.9574211082590971,0.9556159420289855,0.9560031521684424,0.0012284431664052224
1.2975576877593995,0.10503541121420656,0.08421430587768555,0.010805100791307504,50,200,"{'classifier__n_estimators': 50, 'tfidf__max_features': 200}",0.8979468599033816,0.9003623188405797,0.8943236714975845,0.893719806763285,0.8990936555891239,0.897089262518791,0.0026255547347159526,5,0.9589309980371433,0.9571191303034878,0.9589309980371433,0.9596859429261664,0.9586352657004831,0.9586604670008848,0.0008454973538426797
1.6527294158935546,0.07178224736420279,0.08384852409362793,0.00342435076125193,50,500,"{'classifier__n_estimators': 50, 'tfidf__max_features': 500}",0.9039855072463768,0.8931159420289855,0.8943236714975845,0.8955314009661836,0.8984894259818731,0.8970891895442007,0.0038828173036561417,6,0.9704061603502945,0.9695002264834667,0.9722180280839499,0.9704061603502945,0.970108695652174,0.9705278541840359,0.0009075262151697426
2.0617727279663085,0.1524300981473539,0.11388092041015625,0.013597510251427527,100,100,"{'classifier__n_estimators': 100, 'tfidf__max_features': 100}",0.8943236714975845,0.8913043478260869,0.8876811594202898,0.8882850241545893,0.8948640483383686,0.891291650247384,0.002967517032303209,12,0.947908802657406,0.9468518798127736,0.9468518798127736,0.951079571191303,0.9495772946859904,0.9484538856320495,0.0016484073099681817
1.4142757415771485,0.12925764098782203,0.06862974166870117,0.0026163976440465083,100,150,"{'classifier__n_estimators': 100, 'tfidf__max_features': 150}",0.8985507246376812,0.8991545893719807,0.8973429951690821,0.8931159420289855,0.8942598187311178,0.8964848139877694,0.0023846200754971936,8,0.9572701192812925,0.9540993507473955,0.9557602295032462,0.957874075192511,0.9557669082125604,0.956154136587401,0.0013214279875898747
1.3958783149719238,0.02091312519670851,0.06911959648132324,0.0015065887497595206,100,200,"{'classifier__n_estimators': 100, 'tfidf__max_features': 200}",0.8985507246376812,0.894927536231884,0.8931159420289855,0.8979468599033816,0.8984894259818731,0.8966060977567611,0.0021965836128057335,7,0.9589309980371433,0.9572701192812925,0.9589309980371433,0.9595349539483617,0.9586352657004831,0.9586604670008848,0.0007542948218546001
1.8860418796539307,0.05012989050153886,0.08669757843017578,0.00445706929976251,100,500,"{'classifier__n_estimators': 100, 'tfidf__max_features': 500}",0.910024154589372,0.894927536231884,0.8913043478260869,0.8961352657004831,0.8996978851963746,0.8984178379088401,0.0063927958013231135,1,0.9702551713724898,0.9699531934168806,0.9722180280839499,0.970557149328099,0.970108695652174,0.9706184475707188,0.0008242323697496557
2.2255547523498533,0.018412474401076077,0.10958695411682129,0.0007262982237453033,200,100,"{'classifier__n_estimators': 200, 'tfidf__max_features': 100}",0.8943236714975845,0.8919082125603864,0.892512077294686,0.8876811594202898,0.8948640483383686,0.8922578338222632,0.0025374342457072704,10,0.947908802657406,0.9468518798127736,0.9470028687905783,0.951079571191303,0.9495772946859904,0.9484840834276103,0.0016199198123819864
2.500707578659058,0.07441573439969303,0.12113184928894043,0.0068792690004853526,200,150,"{'classifier__n_estimators': 200, 'tfidf__max_features': 150}",0.8985507246376812,0.9003623188405797,0.893719806763285,0.8931159420289855,0.8996978851963746,0.8970893354933811,0.0030592217723123616,4,0.9572701192812925,0.9540993507473955,0.9557602295032462,0.957874075192511,0.9557669082125604,0.956154136587401,0.0013214279875898747
4.077107954025268,0.726548401747329,0.20479044914245606,0.03414038001437678,200,200,"{'classifier__n_estimators': 200, 'tfidf__max_features': 200}",0.9003623188405797,0.8979468599033816,0.8961352657004831,0.8961352657004831,0.8966767371601209,0.8974512894610097,0.0015989653189125742,3,0.9589309980371433,0.9572701192812925,0.9589309980371433,0.9596859429261664,0.9586352657004831,0.9586906647964458,0.0007908371904664305
5.338548374176026,1.3924622630015735,0.22889952659606932,0.07130851440616762,200,500,"{'classifier__n_estimators': 200, 'tfidf__max_features': 500}",0.9094202898550725,0.8900966183574879,0.8919082125603864,0.9009661835748792,0.8972809667673716,0.8979344542230395,0.006917949241149776,2,0.9704061603502945,0.9699531934168806,0.9723690170617545,0.970557149328099,0.970108695652174,0.9706788431618406,0.0008714916926710428
