mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_tfidf__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.10899515151977539,0.004477907410655015,0.01140451431274414,0.0007836183490896168,,100,"{'classifier__max_depth': None, 'tfidf__max_features': 100}",0.873792270531401,0.8786231884057971,0.8713768115942029,0.8707729468599034,0.8767371601208459,0.8742604755024301,0.0030286901472172936,12,0.947908802657406,0.9468518798127736,0.9470028687905783,0.951079571191303,0.9495772946859904,0.9484840834276103,0.0016199198123819864
0.1293541431427002,0.007263004914733591,0.010800409317016601,0.0006971143237784133,,150,"{'classifier__max_depth': None, 'tfidf__max_features': 150}",0.8792270531400966,0.8876811594202898,0.8852657004830918,0.8768115942028986,0.8809667673716012,0.8819904549235955,0.003965255984907598,9,0.9572701192812925,0.9540993507473955,0.9557602295032462,0.957874075192511,0.9557669082125604,0.956154136587401,0.0013214279875898747
0.14220452308654785,0.00541572456478414,0.010518884658813477,0.0005825406118148448,,200,"{'classifier__max_depth': None, 'tfidf__max_features': 200}",0.8774154589371981,0.8840579710144928,0.8828502415458938,0.8768115942028986,0.8767371601208459,0.8795744851642657,0.003199299903308558,11,0.9589309980371433,0.9572701192812925,0.9589309980371433,0.9596859429261664,0.9586352657004831,0.9586906647964458,0.0007908371904664305
0.23482832908630372,0.004608912470716751,0.011022043228149415,0.001042967631006606,,500,"{'classifier__max_depth': None, 'tfidf__max_features': 500}",0.8900966183574879,0.8677536231884058,0.8834541062801933,0.876207729468599,0.8803625377643505,0.8795749230118073,0.007449236130606175,10,0.9704061603502945,0.9699531934168806,0.9723690170617545,0.970557149328099,0.970108695652174,0.9706788431618406,0.0008714916926710428
0.044114875793457034,0.0005129885730644655,0.009771013259887695,0.0012113819962915103,5,100,"{'classifier__max_depth': 5, 'tfidf__max_features': 100}",0.8997584541062802,0.8907004830917874,0.8888888888888888,0.892512077294686,0.8924471299093656,0.8928614066582016,0.0036963064758560723,7,0.898988373848709,0.9006492526045599,0.9004982636267552,0.9029140872716291,0.9029287439613527,0.9011957442626013,0.0015240477135814012
0.04451436996459961,0.00042496102072881896,0.009499168395996094,0.0003872857367371083,5,150,"{'classifier__max_depth': 5, 'tfidf__max_features': 150}",0.9021739130434783,0.8985507246376812,0.8919082125603864,0.8931159420289855,0.8912386706948641,0.895397492593079,0.004255328287026275,4,0.9011022195379738,0.9023101313604107,0.9024611203382154,0.9021591423826061,0.9030797101449275,0.9022224647528267,0.0006416339530872417
0.048651838302612306,0.00294082460644366,0.009931373596191406,0.0006924332700495603,5,200,"{'classifier__max_depth': 5, 'tfidf__max_features': 200}",0.8985507246376812,0.8979468599033816,0.8931159420289855,0.892512077294686,0.8954682779456193,0.8955187763620707,0.00244559613320318,3,0.9006492526045599,0.9036690321606523,0.9029140872716291,0.9030650762494338,0.9038345410628019,0.9028263978698152,0.0011428913816957066
0.053727149963378906,0.002259782769219986,0.011198139190673828,0.0011699133898649444,5,500,"{'classifier__max_depth': 5, 'tfidf__max_features': 500}",0.9045893719806763,0.8961352657004831,0.892512077294686,0.893719806763285,0.89607250755287,0.8966058058584,0.004226836819230784,2,0.9021591423826061,0.9063868337611355,0.9042729880718707,0.9039710101162615,0.9056461352657005,0.9044872219195149,0.0014617749751764388
0.05624313354492187,0.0014422514415753662,0.010257482528686523,0.000953021577135405,10,100,"{'classifier__max_depth': 10, 'tfidf__max_features': 100}",0.8894927536231884,0.8864734299516909,0.8870772946859904,0.8919082125603864,0.8936555891238671,0.8897214559890246,0.002751467780398689,8,0.9134833157179526,0.9139362826513665,0.9143892495847803,0.9172580401630681,0.9171195652173914,0.9152372906669118,0.001619543742210829
0.06470832824707032,0.010747821367260865,0.015784215927124024,0.006142601749558169,10,150,"{'classifier__max_depth': 10, 'tfidf__max_features': 150}",0.894927536231884,0.8967391304347826,0.8919082125603864,0.894927536231884,0.8942598187311178,0.8945524468380108,0.0015582410200665761,6,0.9162011173184358,0.9151441944738035,0.9174090291408727,0.9192208968745281,0.9174214975845411,0.9170793470784362,0.0013658767056238161
0.05961709022521973,0.003930207763153166,0.0099884033203125,0.001231395753215532,10,200,"{'classifier__max_depth': 10, 'tfidf__max_features': 200}",0.8955314009661836,0.8985507246376812,0.8931159420289855,0.8919082125603864,0.8966767371601209,0.8951566034706715,0.0023953154580718884,5,0.9163521062962404,0.9178619960742865,0.9168050732296542,0.9181639740298958,0.9169685990338164,0.9172303497327785,0.0006769514746637641
0.06368789672851563,0.0037040862763019987,0.011484336853027344,0.0007930584024249193,10,500,"{'classifier__max_depth': 10, 'tfidf__max_features': 500}",0.9015700483091788,0.8967391304347826,0.8919082125603864,0.8943236714975845,0.9021148036253777,0.8973311732854621,0.003991372331980323,1,0.9183149630077004,0.9195228748301374,0.9184659519855051,0.9187679299411143,0.9184782608695652,0.9187099961268045,0.0004320736165775654
